Episode: 1, z_vector: tensor([1., 1.], device='cuda:0') 
Episode: 142, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
Episode: 143, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
Episode: 144, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
Episode: 145, z_vector: tensor([1.0088, 1.0072], device='cuda:0') 
Episode: 146, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 147, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 148, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 149, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 150, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 151, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 152, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 153, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 154, z_vector: tensor([1.0089, 1.0072], device='cuda:0') 
Episode: 155, z_vector: tensor([1.0090, 1.0072], device='cuda:0') 
Episode: 156, z_vector: tensor([1.0090, 1.0072], device='cuda:0') 
Episode: 157, z_vector: tensor([1.0090, 1.0072], device='cuda:0') 
Episode: 158, z_vector: tensor([1.0090, 1.0072], device='cuda:0') 
Episode: 159, z_vector: tensor([1.0090, 1.0072], device='cuda:0') 
Episode: 160, z_vector: tensor([1.0090, 1.0072], device='cuda:0') 
Episode: 161, z_vector: tensor([1.0090, 1.0072], device='cuda:0') 
Episode: 162, z_vector: tensor([1.0091, 1.0072], device='cuda:0') 
Episode: 163, z_vector: tensor([1.0091, 1.0072], device='cuda:0') 
Episode: 164, z_vector: tensor([1.0091, 1.0072], device='cuda:0') 
Episode: 165, z_vector: tensor([1.0091, 1.0072], device='cuda:0') 
Episode: 166, z_vector: tensor([1.0091, 1.0072], device='cuda:0') 
Episode: 167, z_vector: tensor([1.0091, 1.0072], device='cuda:0') 
Episode: 168, z_vector: tensor([1.0092, 1.0072], device='cuda:0') 
Episode: 169, z_vector: tensor([1.0092, 1.0072], device='cuda:0') 
Episode: 170, z_vector: tensor([1.0092, 1.0072], device='cuda:0') 
Episode: 171, z_vector: tensor([1.0092, 1.0072], device='cuda:0') 
Episode: 172, z_vector: tensor([1.0092, 1.0072], device='cuda:0') 
Episode: 173, z_vector: tensor([1.0093, 1.0072], device='cuda:0') 
Episode: 174, z_vector: tensor([1.0093, 1.0072], device='cuda:0') 
Episode: 175, z_vector: tensor([1.0093, 1.0072], device='cuda:0') 
Episode: 176, z_vector: tensor([1.0093, 1.0072], device='cuda:0') 
Episode: 177, z_vector: tensor([1.0093, 1.0072], device='cuda:0') 
Episode: 178, z_vector: tensor([1.0094, 1.0072], device='cuda:0') 
Episode: 179, z_vector: tensor([1.0094, 1.0072], device='cuda:0') 
Episode: 180, z_vector: tensor([1.0094, 1.0072], device='cuda:0') 
Episode: 181, z_vector: tensor([1.0094, 1.0072], device='cuda:0') 
Episode: 182, z_vector: tensor([1.0095, 1.0072], device='cuda:0') 
Episode: 183, z_vector: tensor([1.0095, 1.0072], device='cuda:0') 
Episode: 184, z_vector: tensor([1.0095, 1.0072], device='cuda:0') 
Episode: 185, z_vector: tensor([1.0095, 1.0073], device='cuda:0') 
Episode: 186, z_vector: tensor([1.0096, 1.0073], device='cuda:0') 
Episode: 187, z_vector: tensor([1.0096, 1.0073], device='cuda:0') 
Episode: 188, z_vector: tensor([1.0096, 1.0073], device='cuda:0') 
Episode: 189, z_vector: tensor([1.0096, 1.0073], device='cuda:0') 
Episode: 190, z_vector: tensor([1.0096, 1.0073], device='cuda:0') 
Episode: 191, z_vector: tensor([1.0097, 1.0073], device='cuda:0') 
Episode: 192, z_vector: tensor([1.0097, 1.0073], device='cuda:0') 
Episode: 193, z_vector: tensor([1.0097, 1.0073], device='cuda:0') 
Episode: 194, z_vector: tensor([1.0097, 1.0073], device='cuda:0') 
Episode: 195, z_vector: tensor([1.0098, 1.0073], device='cuda:0') 
Episode: 196, z_vector: tensor([1.0098, 1.0073], device='cuda:0') 
Episode: 197, z_vector: tensor([1.0098, 1.0073], device='cuda:0') 
Episode: 198, z_vector: tensor([1.0098, 1.0073], device='cuda:0') 
Episode: 199, z_vector: tensor([1.0099, 1.0073], device='cuda:0') 
Episode: 200, z_vector: tensor([1.0099, 1.0073], device='cuda:0') 
