Episode: 1, v_vector: tensor([[0.5000, 0.5000]], device='cuda:0') 
Episode: 35, v_vector: tensor([[0.5057, 0.4993]], device='cuda:0') 
Episode: 36, v_vector: tensor([[0.5060, 0.4995]], device='cuda:0') 
Episode: 37, v_vector: tensor([[0.5064, 0.4997]], device='cuda:0') 
Episode: 38, v_vector: tensor([[0.5067, 0.5000]], device='cuda:0') 
Episode: 39, v_vector: tensor([[0.5071, 0.5004]], device='cuda:0') 
Episode: 40, v_vector: tensor([[0.5075, 0.5005]], device='cuda:0') 
Episode: 41, v_vector: tensor([[0.5078, 0.5003]], device='cuda:0') 
Episode: 42, v_vector: tensor([[0.5082, 0.5002]], device='cuda:0') 
Episode: 43, v_vector: tensor([[0.5086, 0.5002]], device='cuda:0') 
Episode: 44, v_vector: tensor([[0.5090, 0.5003]], device='cuda:0') 
Episode: 45, v_vector: tensor([[0.5094, 0.5005]], device='cuda:0') 
Episode: 46, v_vector: tensor([[0.5097, 0.5003]], device='cuda:0') 
Episode: 47, v_vector: tensor([[0.5101, 0.5000]], device='cuda:0') 
Episode: 48, v_vector: tensor([[0.5101, 0.4997]], device='cuda:0') 
Episode: 49, v_vector: tensor([[0.5102, 0.4998]], device='cuda:0') 
Episode: 50, v_vector: tensor([[0.5103, 0.4999]], device='cuda:0') 
Episode: 51, v_vector: tensor([[0.5104, 0.4999]], device='cuda:0') 
Episode: 52, v_vector: tensor([[0.5106, 0.5000]], device='cuda:0') 
Episode: 53, v_vector: tensor([[0.5107, 0.4998]], device='cuda:0') 
Episode: 54, v_vector: tensor([[0.5109, 0.4995]], device='cuda:0') 
Episode: 55, v_vector: tensor([[0.5110, 0.4992]], device='cuda:0') 
Episode: 56, v_vector: tensor([[0.5112, 0.4990]], device='cuda:0') 
Episode: 57, v_vector: tensor([[0.5113, 0.4988]], device='cuda:0') 
Episode: 58, v_vector: tensor([[0.5114, 0.4988]], device='cuda:0') 
Episode: 59, v_vector: tensor([[0.5115, 0.4987]], device='cuda:0') 
Episode: 60, v_vector: tensor([[0.5115, 0.4986]], device='cuda:0') 
Episode: 61, v_vector: tensor([[0.5115, 0.4983]], device='cuda:0') 
Episode: 62, v_vector: tensor([[0.5114, 0.4980]], device='cuda:0') 
Episode: 63, v_vector: tensor([[0.5113, 0.4978]], device='cuda:0') 
Episode: 64, v_vector: tensor([[0.5113, 0.4975]], device='cuda:0') 
Episode: 65, v_vector: tensor([[0.5113, 0.4973]], device='cuda:0') 
Episode: 66, v_vector: tensor([[0.5114, 0.4972]], device='cuda:0') 
Episode: 67, v_vector: tensor([[0.5114, 0.4970]], device='cuda:0') 
Episode: 68, v_vector: tensor([[0.5114, 0.4969]], device='cuda:0') 
Episode: 69, v_vector: tensor([[0.5115, 0.4968]], device='cuda:0') 
Episode: 70, v_vector: tensor([[0.5115, 0.4967]], device='cuda:0') 
Episode: 71, v_vector: tensor([[0.5115, 0.4967]], device='cuda:0') 
Episode: 72, v_vector: tensor([[0.5115, 0.4968]], device='cuda:0') 
Episode: 73, v_vector: tensor([[0.5116, 0.4966]], device='cuda:0') 
Episode: 74, v_vector: tensor([[0.5116, 0.4965]], device='cuda:0') 
Episode: 75, v_vector: tensor([[0.5117, 0.4965]], device='cuda:0') 
Episode: 76, v_vector: tensor([[0.5118, 0.4965]], device='cuda:0') 
Episode: 77, v_vector: tensor([[0.5118, 0.4966]], device='cuda:0') 
Episode: 78, v_vector: tensor([[0.5119, 0.4966]], device='cuda:0') 
Episode: 79, v_vector: tensor([[0.5119, 0.4967]], device='cuda:0') 
Episode: 80, v_vector: tensor([[0.5120, 0.4966]], device='cuda:0') 
Episode: 81, v_vector: tensor([[0.5121, 0.4965]], device='cuda:0') 
Episode: 82, v_vector: tensor([[0.5122, 0.4965]], device='cuda:0') 
Episode: 83, v_vector: tensor([[0.5123, 0.4964]], device='cuda:0') 
Episode: 84, v_vector: tensor([[0.5124, 0.4964]], device='cuda:0') 
Episode: 85, v_vector: tensor([[0.5125, 0.4964]], device='cuda:0') 
Episode: 86, v_vector: tensor([[0.5126, 0.4964]], device='cuda:0') 
Episode: 87, v_vector: tensor([[0.5128, 0.4965]], device='cuda:0') 
Episode: 88, v_vector: tensor([[0.5128, 0.4965]], device='cuda:0') 
Episode: 89, v_vector: tensor([[0.5129, 0.4966]], device='cuda:0') 
Episode: 90, v_vector: tensor([[0.5131, 0.4967]], device='cuda:0') 
Episode: 91, v_vector: tensor([[0.5133, 0.4968]], device='cuda:0') 
Episode: 92, v_vector: tensor([[0.5136, 0.4969]], device='cuda:0') 
Episode: 93, v_vector: tensor([[0.5138, 0.4971]], device='cuda:0') 
Episode: 94, v_vector: tensor([[0.5140, 0.4972]], device='cuda:0') 
Episode: 95, v_vector: tensor([[0.5141, 0.4973]], device='cuda:0') 
Episode: 96, v_vector: tensor([[0.5144, 0.4974]], device='cuda:0') 
Episode: 97, v_vector: tensor([[0.5145, 0.4975]], device='cuda:0') 
Episode: 98, v_vector: tensor([[0.5148, 0.4975]], device='cuda:0') 
Episode: 99, v_vector: tensor([[0.5150, 0.4976]], device='cuda:0') 
Episode: 100, v_vector: tensor([[0.5152, 0.4977]], device='cuda:0') 
Episode: 101, v_vector: tensor([[0.5154, 0.4977]], device='cuda:0') 
Episode: 102, v_vector: tensor([[0.5155, 0.4977]], device='cuda:0') 
Episode: 103, v_vector: tensor([[0.5157, 0.4977]], device='cuda:0') 
Episode: 104, v_vector: tensor([[0.5159, 0.4978]], device='cuda:0') 
Episode: 105, v_vector: tensor([[0.5160, 0.4978]], device='cuda:0') 
Episode: 106, v_vector: tensor([[0.5162, 0.4981]], device='cuda:0') 
Episode: 107, v_vector: tensor([[0.5163, 0.4983]], device='cuda:0') 
Episode: 108, v_vector: tensor([[0.5165, 0.4986]], device='cuda:0') 
Episode: 109, v_vector: tensor([[0.5166, 0.4988]], device='cuda:0') 
Episode: 110, v_vector: tensor([[0.5168, 0.4992]], device='cuda:0') 
Episode: 111, v_vector: tensor([[0.5169, 0.4995]], device='cuda:0') 
Episode: 112, v_vector: tensor([[0.5170, 0.4998]], device='cuda:0') 
Episode: 113, v_vector: tensor([[0.5172, 0.5000]], device='cuda:0') 
Episode: 114, v_vector: tensor([[0.5173, 0.5003]], device='cuda:0') 
Episode: 115, v_vector: tensor([[0.5175, 0.5001]], device='cuda:0') 
Episode: 116, v_vector: tensor([[0.5176, 0.5000]], device='cuda:0') 
Episode: 117, v_vector: tensor([[0.5178, 0.4998]], device='cuda:0') 
Episode: 118, v_vector: tensor([[0.5180, 0.4997]], device='cuda:0') 
Episode: 119, v_vector: tensor([[0.5180, 0.4995]], device='cuda:0') 
Episode: 120, v_vector: tensor([[0.5182, 0.4994]], device='cuda:0') 
Episode: 121, v_vector: tensor([[0.5185, 0.4993]], device='cuda:0') 
Episode: 122, v_vector: tensor([[0.5187, 0.4993]], device='cuda:0') 
Episode: 123, v_vector: tensor([[0.5188, 0.4992]], device='cuda:0') 
Episode: 124, v_vector: tensor([[0.5190, 0.4992]], device='cuda:0') 
Episode: 125, v_vector: tensor([[0.5191, 0.4992]], device='cuda:0') 
Episode: 126, v_vector: tensor([[0.5192, 0.4991]], device='cuda:0') 
Episode: 127, v_vector: tensor([[0.5192, 0.4990]], device='cuda:0') 
Episode: 128, v_vector: tensor([[0.5192, 0.4988]], device='cuda:0') 
Episode: 129, v_vector: tensor([[0.5193, 0.4986]], device='cuda:0') 
Episode: 130, v_vector: tensor([[0.5194, 0.4985]], device='cuda:0') 
Episode: 131, v_vector: tensor([[0.5195, 0.4983]], device='cuda:0') 
Episode: 132, v_vector: tensor([[0.5197, 0.4982]], device='cuda:0') 
Episode: 133, v_vector: tensor([[0.5198, 0.4981]], device='cuda:0') 
Episode: 134, v_vector: tensor([[0.5200, 0.4979]], device='cuda:0') 
Episode: 135, v_vector: tensor([[0.5202, 0.4978]], device='cuda:0') 
Episode: 136, v_vector: tensor([[0.5203, 0.4976]], device='cuda:0') 
Episode: 137, v_vector: tensor([[0.5204, 0.4975]], device='cuda:0') 
Episode: 138, v_vector: tensor([[0.5205, 0.4973]], device='cuda:0') 
Episode: 139, v_vector: tensor([[0.5209, 0.4974]], device='cuda:0') 
Episode: 140, v_vector: tensor([[0.5212, 0.4974]], device='cuda:0') 
Episode: 141, v_vector: tensor([[0.5215, 0.4974]], device='cuda:0') 
Episode: 142, v_vector: tensor([[0.5217, 0.4975]], device='cuda:0') 
Episode: 143, v_vector: tensor([[0.5220, 0.4975]], device='cuda:0') 
Episode: 144, v_vector: tensor([[0.5222, 0.4975]], device='cuda:0') 
Episode: 145, v_vector: tensor([[0.5225, 0.4975]], device='cuda:0') 
Episode: 146, v_vector: tensor([[0.5227, 0.4975]], device='cuda:0') 
Episode: 147, v_vector: tensor([[0.5229, 0.4975]], device='cuda:0') 
Episode: 148, v_vector: tensor([[0.5230, 0.4974]], device='cuda:0') 
Episode: 149, v_vector: tensor([[0.5232, 0.4974]], device='cuda:0') 
Episode: 150, v_vector: tensor([[0.5233, 0.4973]], device='cuda:0') 
Episode: 151, v_vector: tensor([[0.5235, 0.4972]], device='cuda:0') 
Episode: 152, v_vector: tensor([[0.5236, 0.4971]], device='cuda:0') 
Episode: 153, v_vector: tensor([[0.5238, 0.4969]], device='cuda:0') 
Episode: 154, v_vector: tensor([[0.5240, 0.4968]], device='cuda:0') 
Episode: 155, v_vector: tensor([[0.5242, 0.4968]], device='cuda:0') 
Episode: 156, v_vector: tensor([[0.5244, 0.4967]], device='cuda:0') 
Episode: 157, v_vector: tensor([[0.5246, 0.4966]], device='cuda:0') 
Episode: 158, v_vector: tensor([[0.5248, 0.4966]], device='cuda:0') 
Episode: 159, v_vector: tensor([[0.5249, 0.4965]], device='cuda:0') 
Episode: 160, v_vector: tensor([[0.5252, 0.4963]], device='cuda:0') 
Episode: 161, v_vector: tensor([[0.5253, 0.4960]], device='cuda:0') 
Episode: 162, v_vector: tensor([[0.5254, 0.4956]], device='cuda:0') 
Episode: 163, v_vector: tensor([[0.5258, 0.4951]], device='cuda:0') 
Episode: 164, v_vector: tensor([[0.5263, 0.4946]], device='cuda:0') 
Episode: 165, v_vector: tensor([[0.5266, 0.4942]], device='cuda:0') 
Episode: 166, v_vector: tensor([[0.5270, 0.4938]], device='cuda:0') 
Episode: 167, v_vector: tensor([[0.5272, 0.4934]], device='cuda:0') 
Episode: 168, v_vector: tensor([[0.5275, 0.4931]], device='cuda:0') 
Episode: 169, v_vector: tensor([[0.5277, 0.4929]], device='cuda:0') 
Episode: 170, v_vector: tensor([[0.5279, 0.4926]], device='cuda:0') 
Episode: 171, v_vector: tensor([[0.5281, 0.4924]], device='cuda:0') 
Episode: 172, v_vector: tensor([[0.5283, 0.4922]], device='cuda:0') 
Episode: 173, v_vector: tensor([[0.5285, 0.4920]], device='cuda:0') 
Episode: 174, v_vector: tensor([[0.5282, 0.4920]], device='cuda:0') 
Episode: 175, v_vector: tensor([[0.5280, 0.4920]], device='cuda:0') 
Episode: 176, v_vector: tensor([[0.5278, 0.4920]], device='cuda:0') 
Episode: 177, v_vector: tensor([[0.5277, 0.4920]], device='cuda:0') 
Episode: 178, v_vector: tensor([[0.5275, 0.4920]], device='cuda:0') 
Episode: 179, v_vector: tensor([[0.5274, 0.4920]], device='cuda:0') 
Episode: 180, v_vector: tensor([[0.5272, 0.4920]], device='cuda:0') 
Episode: 181, v_vector: tensor([[0.5271, 0.4920]], device='cuda:0') 
Episode: 182, v_vector: tensor([[0.5270, 0.4920]], device='cuda:0') 
Episode: 183, v_vector: tensor([[0.5269, 0.4920]], device='cuda:0') 
Episode: 184, v_vector: tensor([[0.5268, 0.4920]], device='cuda:0') 
Episode: 185, v_vector: tensor([[0.5267, 0.4920]], device='cuda:0') 
Episode: 186, v_vector: tensor([[0.5267, 0.4920]], device='cuda:0') 
Episode: 187, v_vector: tensor([[0.5266, 0.4920]], device='cuda:0') 
Episode: 188, v_vector: tensor([[0.5266, 0.4920]], device='cuda:0') 
Episode: 189, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 190, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 191, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 192, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 193, v_vector: tensor([[0.5264, 0.4920]], device='cuda:0') 
Episode: 194, v_vector: tensor([[0.5264, 0.4920]], device='cuda:0') 
Episode: 195, v_vector: tensor([[0.5264, 0.4920]], device='cuda:0') 
Episode: 196, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 197, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 198, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 199, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
Episode: 200, v_vector: tensor([[0.5265, 0.4920]], device='cuda:0') 
