Episode: 1, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 52, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 53, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 54, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 55, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 56, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 57, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 58, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 59, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 60, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 61, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 62, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 63, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 64, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 65, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 66, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 67, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 68, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 69, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 70, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 71, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 72, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 73, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 74, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 75, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 76, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 77, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 78, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 79, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 80, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 81, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 82, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 83, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 84, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 85, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 86, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 87, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 88, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 89, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 90, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 91, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 92, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 93, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 94, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 95, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 96, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 97, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 98, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 99, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 100, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 101, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 102, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 103, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 104, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 105, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 106, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 107, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 108, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 109, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 110, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 111, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 112, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 113, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 114, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 115, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 116, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 117, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 118, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 119, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 120, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 121, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 122, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 123, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 124, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 125, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 126, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 127, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 128, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 129, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 130, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 131, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 132, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 133, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 134, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 135, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 136, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 137, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 138, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 139, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 140, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 141, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 142, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 143, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 144, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 145, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 146, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 147, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 148, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 149, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 150, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 151, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 152, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 153, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 154, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 155, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 156, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 157, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 158, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 159, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 160, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 161, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 162, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 163, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 164, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 165, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 166, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 167, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 168, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 169, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 170, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 171, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 172, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 173, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 174, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 175, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 176, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 177, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 178, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 179, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 180, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 181, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 182, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 183, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 184, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 185, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 186, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 187, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 188, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 189, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 190, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 191, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 192, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 193, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 194, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 195, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 196, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 197, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 198, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 199, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
Episode: 200, y_vector: tensor([0.0000, 0.6239, 0.8586, 0.9468, 0.5000], device='cuda:0') 
