Episode: 1, v_vector: tensor([[0.5000, 0.5000]]) 
Episode: 52, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 53, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 54, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 55, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 56, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 57, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 58, v_vector: tensor([[0.5005, 0.5002]]) 
Episode: 59, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 60, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 61, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 62, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 63, v_vector: tensor([[0.5005, 0.5003]]) 
Episode: 64, v_vector: tensor([[0.5005, 0.5004]]) 
Episode: 65, v_vector: tensor([[0.5005, 0.5004]]) 
Episode: 66, v_vector: tensor([[0.5006, 0.5004]]) 
Episode: 67, v_vector: tensor([[0.5006, 0.5004]]) 
Episode: 68, v_vector: tensor([[0.5006, 0.5004]]) 
Episode: 69, v_vector: tensor([[0.5006, 0.5004]]) 
Episode: 70, v_vector: tensor([[0.5006, 0.5005]]) 
Episode: 71, v_vector: tensor([[0.5006, 0.5005]]) 
Episode: 72, v_vector: tensor([[0.5006, 0.5005]]) 
Episode: 73, v_vector: tensor([[0.5006, 0.5005]]) 
Episode: 74, v_vector: tensor([[0.5006, 0.5005]]) 
Episode: 75, v_vector: tensor([[0.5006, 0.5006]]) 
Episode: 76, v_vector: tensor([[0.5006, 0.5006]]) 
Episode: 77, v_vector: tensor([[0.5006, 0.5006]]) 
Episode: 78, v_vector: tensor([[0.5006, 0.5006]]) 
Episode: 79, v_vector: tensor([[0.5006, 0.5007]]) 
Episode: 80, v_vector: tensor([[0.5006, 0.5007]]) 
Episode: 81, v_vector: tensor([[0.5006, 0.5007]]) 
Episode: 82, v_vector: tensor([[0.5006, 0.5008]]) 
Episode: 83, v_vector: tensor([[0.5006, 0.5008]]) 
Episode: 84, v_vector: tensor([[0.5006, 0.5008]]) 
Episode: 85, v_vector: tensor([[0.5006, 0.5008]]) 
Episode: 86, v_vector: tensor([[0.5006, 0.5008]]) 
Episode: 87, v_vector: tensor([[0.5006, 0.5009]]) 
Episode: 88, v_vector: tensor([[0.5006, 0.5009]]) 
Episode: 89, v_vector: tensor([[0.5006, 0.5009]]) 
Episode: 90, v_vector: tensor([[0.5006, 0.5009]]) 
Episode: 91, v_vector: tensor([[0.5006, 0.5010]]) 
Episode: 92, v_vector: tensor([[0.5006, 0.5010]]) 
Episode: 93, v_vector: tensor([[0.5006, 0.5011]]) 
Episode: 94, v_vector: tensor([[0.5006, 0.5011]]) 
Episode: 95, v_vector: tensor([[0.5006, 0.5011]]) 
Episode: 96, v_vector: tensor([[0.5006, 0.5012]]) 
Episode: 97, v_vector: tensor([[0.5006, 0.5012]]) 
Episode: 98, v_vector: tensor([[0.5006, 0.5013]]) 
Episode: 99, v_vector: tensor([[0.5006, 0.5013]]) 
Episode: 100, v_vector: tensor([[0.5006, 0.5014]]) 
Episode: 101, v_vector: tensor([[0.5006, 0.5014]]) 
Episode: 102, v_vector: tensor([[0.5006, 0.5015]]) 
Episode: 103, v_vector: tensor([[0.5006, 0.5015]]) 
Episode: 104, v_vector: tensor([[0.5006, 0.5016]]) 
Episode: 105, v_vector: tensor([[0.5006, 0.5017]]) 
Episode: 106, v_vector: tensor([[0.5006, 0.5017]]) 
Episode: 107, v_vector: tensor([[0.5006, 0.5018]]) 
Episode: 108, v_vector: tensor([[0.5006, 0.5018]]) 
Episode: 109, v_vector: tensor([[0.5006, 0.5019]]) 
Episode: 110, v_vector: tensor([[0.5006, 0.5019]]) 
Episode: 111, v_vector: tensor([[0.5006, 0.5020]]) 
Episode: 112, v_vector: tensor([[0.5006, 0.5021]]) 
Episode: 113, v_vector: tensor([[0.5006, 0.5021]]) 
Episode: 114, v_vector: tensor([[0.5006, 0.5022]]) 
Episode: 115, v_vector: tensor([[0.5006, 0.5022]]) 
Episode: 116, v_vector: tensor([[0.5006, 0.5023]]) 
Episode: 117, v_vector: tensor([[0.5006, 0.5023]]) 
Episode: 118, v_vector: tensor([[0.5006, 0.5024]]) 
Episode: 119, v_vector: tensor([[0.5005, 0.5025]]) 
Episode: 120, v_vector: tensor([[0.5005, 0.5025]]) 
Episode: 121, v_vector: tensor([[0.5005, 0.5026]]) 
Episode: 122, v_vector: tensor([[0.5004, 0.5027]]) 
Episode: 123, v_vector: tensor([[0.5004, 0.5028]]) 
Episode: 124, v_vector: tensor([[0.5004, 0.5028]]) 
Episode: 125, v_vector: tensor([[0.5004, 0.5029]]) 
Episode: 126, v_vector: tensor([[0.5003, 0.5030]]) 
Episode: 127, v_vector: tensor([[0.5003, 0.5030]]) 
Episode: 128, v_vector: tensor([[0.5003, 0.5031]]) 
Episode: 129, v_vector: tensor([[0.5002, 0.5031]]) 
Episode: 130, v_vector: tensor([[0.5002, 0.5032]]) 
Episode: 131, v_vector: tensor([[0.5002, 0.5032]]) 
Episode: 132, v_vector: tensor([[0.5001, 0.5033]]) 
Episode: 133, v_vector: tensor([[0.5001, 0.5033]]) 
Episode: 134, v_vector: tensor([[0.5001, 0.5034]]) 
Episode: 135, v_vector: tensor([[0.5001, 0.5034]]) 
Episode: 136, v_vector: tensor([[0.5000, 0.5035]]) 
Episode: 137, v_vector: tensor([[0.5000, 0.5035]]) 
Episode: 138, v_vector: tensor([[0.5000, 0.5036]]) 
Episode: 139, v_vector: tensor([[0.5000, 0.5036]]) 
Episode: 140, v_vector: tensor([[0.5000, 0.5037]]) 
Episode: 141, v_vector: tensor([[0.4999, 0.5037]]) 
Episode: 142, v_vector: tensor([[0.4999, 0.5038]]) 
Episode: 143, v_vector: tensor([[0.4999, 0.5038]]) 
Episode: 144, v_vector: tensor([[0.4999, 0.5039]]) 
Episode: 145, v_vector: tensor([[0.4999, 0.5039]]) 
Episode: 146, v_vector: tensor([[0.4999, 0.5040]]) 
Episode: 147, v_vector: tensor([[0.4999, 0.5040]]) 
Episode: 148, v_vector: tensor([[0.4999, 0.5041]]) 
Episode: 149, v_vector: tensor([[0.4999, 0.5041]]) 
Episode: 150, v_vector: tensor([[0.4999, 0.5042]]) 
Episode: 151, v_vector: tensor([[0.4999, 0.5042]]) 
Episode: 152, v_vector: tensor([[0.4999, 0.5043]]) 
Episode: 153, v_vector: tensor([[0.4999, 0.5043]]) 
Episode: 154, v_vector: tensor([[0.4999, 0.5044]]) 
Episode: 155, v_vector: tensor([[0.4999, 0.5045]]) 
Episode: 156, v_vector: tensor([[0.4999, 0.5045]]) 
Episode: 157, v_vector: tensor([[0.4999, 0.5046]]) 
Episode: 158, v_vector: tensor([[0.4999, 0.5046]]) 
Episode: 159, v_vector: tensor([[0.4999, 0.5047]]) 
Episode: 160, v_vector: tensor([[0.4999, 0.5047]]) 
Episode: 161, v_vector: tensor([[0.4999, 0.5048]]) 
Episode: 162, v_vector: tensor([[0.4999, 0.5048]]) 
Episode: 163, v_vector: tensor([[0.4999, 0.5048]]) 
Episode: 164, v_vector: tensor([[0.4999, 0.5049]]) 
Episode: 165, v_vector: tensor([[0.4999, 0.5049]]) 
Episode: 166, v_vector: tensor([[0.4999, 0.5049]]) 
Episode: 167, v_vector: tensor([[0.4999, 0.5050]]) 
Episode: 168, v_vector: tensor([[0.4998, 0.5050]]) 
Episode: 169, v_vector: tensor([[0.4998, 0.5051]]) 
Episode: 170, v_vector: tensor([[0.4998, 0.5051]]) 
Episode: 171, v_vector: tensor([[0.4998, 0.5051]]) 
Episode: 172, v_vector: tensor([[0.4998, 0.5052]]) 
Episode: 173, v_vector: tensor([[0.4998, 0.5052]]) 
Episode: 174, v_vector: tensor([[0.4998, 0.5052]]) 
Episode: 175, v_vector: tensor([[0.4997, 0.5053]]) 
Episode: 176, v_vector: tensor([[0.4997, 0.5053]]) 
Episode: 177, v_vector: tensor([[0.4997, 0.5053]]) 
Episode: 178, v_vector: tensor([[0.4997, 0.5054]]) 
Episode: 179, v_vector: tensor([[0.4997, 0.5054]]) 
Episode: 180, v_vector: tensor([[0.4997, 0.5054]]) 
Episode: 181, v_vector: tensor([[0.4997, 0.5055]]) 
Episode: 182, v_vector: tensor([[0.4997, 0.5055]]) 
Episode: 183, v_vector: tensor([[0.4997, 0.5055]]) 
Episode: 184, v_vector: tensor([[0.4997, 0.5055]]) 
Episode: 185, v_vector: tensor([[0.4997, 0.5056]]) 
Episode: 186, v_vector: tensor([[0.4997, 0.5056]]) 
Episode: 187, v_vector: tensor([[0.4997, 0.5057]]) 
Episode: 188, v_vector: tensor([[0.4997, 0.5057]]) 
Episode: 189, v_vector: tensor([[0.4997, 0.5058]]) 
Episode: 190, v_vector: tensor([[0.4996, 0.5058]]) 
Episode: 191, v_vector: tensor([[0.4996, 0.5059]]) 
Episode: 192, v_vector: tensor([[0.4996, 0.5059]]) 
Episode: 193, v_vector: tensor([[0.4996, 0.5060]]) 
Episode: 194, v_vector: tensor([[0.4996, 0.5060]]) 
Episode: 195, v_vector: tensor([[0.4996, 0.5061]]) 
Episode: 196, v_vector: tensor([[0.4996, 0.5061]]) 
Episode: 197, v_vector: tensor([[0.4995, 0.5061]]) 
Episode: 198, v_vector: tensor([[0.4995, 0.5062]]) 
Episode: 199, v_vector: tensor([[0.4995, 0.5062]]) 
Episode: 200, v_vector: tensor([[0.4995, 0.5062]]) 
