Episode: 1, z_learner_vector: tensor([1.0000, 0.0200], device='cuda:0') 
Episode: 34, z_learner_vector: tensor([1.0002, 0.0269], device='cuda:0') 
Episode: 35, z_learner_vector: tensor([1.0002, 0.0271], device='cuda:0') 
Episode: 36, z_learner_vector: tensor([1.0003, 0.0272], device='cuda:0') 
Episode: 37, z_learner_vector: tensor([1.0003, 0.0274], device='cuda:0') 
Episode: 38, z_learner_vector: tensor([1.0004, 0.0276], device='cuda:0') 
Episode: 39, z_learner_vector: tensor([1.0004, 0.0277], device='cuda:0') 
Episode: 40, z_learner_vector: tensor([1.0004, 0.0278], device='cuda:0') 
Episode: 41, z_learner_vector: tensor([1.0003, 0.0280], device='cuda:0') 
Episode: 42, z_learner_vector: tensor([1.0003, 0.0281], device='cuda:0') 
Episode: 43, z_learner_vector: tensor([1.0003, 0.0282], device='cuda:0') 
Episode: 44, z_learner_vector: tensor([1.0002, 0.0284], device='cuda:0') 
Episode: 45, z_learner_vector: tensor([1.0002, 0.0285], device='cuda:0') 
Episode: 46, z_learner_vector: tensor([1.0001, 0.0286], device='cuda:0') 
Episode: 47, z_learner_vector: tensor([1.0001, 0.0288], device='cuda:0') 
Episode: 48, z_learner_vector: tensor([1.0000, 0.0289], device='cuda:0') 
Episode: 49, z_learner_vector: tensor([0.9999, 0.0291], device='cuda:0') 
Episode: 50, z_learner_vector: tensor([1.0000, 0.0294], device='cuda:0') 
Episode: 51, z_learner_vector: tensor([1.0001, 0.0296], device='cuda:0') 
Episode: 52, z_learner_vector: tensor([1.0002, 0.0299], device='cuda:0') 
Episode: 53, z_learner_vector: tensor([1.0000, 0.0300], device='cuda:0') 
Episode: 54, z_learner_vector: tensor([0.9998, 0.0300], device='cuda:0') 
Episode: 55, z_learner_vector: tensor([0.9997, 0.0302], device='cuda:0') 
Episode: 56, z_learner_vector: tensor([0.9995, 0.0305], device='cuda:0') 
Episode: 57, z_learner_vector: tensor([0.9993, 0.0307], device='cuda:0') 
Episode: 58, z_learner_vector: tensor([0.9990, 0.0308], device='cuda:0') 
Episode: 59, z_learner_vector: tensor([0.9991, 0.0312], device='cuda:0') 
Episode: 60, z_learner_vector: tensor([0.9993, 0.0315], device='cuda:0') 
Episode: 61, z_learner_vector: tensor([0.9994, 0.0317], device='cuda:0') 
Episode: 62, z_learner_vector: tensor([0.9995, 0.0319], device='cuda:0') 
Episode: 63, z_learner_vector: tensor([0.9995, 0.0321], device='cuda:0') 
Episode: 64, z_learner_vector: tensor([0.9996, 0.0323], device='cuda:0') 
Episode: 65, z_learner_vector: tensor([0.9996, 0.0324], device='cuda:0') 
Episode: 66, z_learner_vector: tensor([0.9997, 0.0326], device='cuda:0') 
Episode: 67, z_learner_vector: tensor([0.9997, 0.0327], device='cuda:0') 
Episode: 68, z_learner_vector: tensor([0.9997, 0.0328], device='cuda:0') 
Episode: 69, z_learner_vector: tensor([0.9998, 0.0329], device='cuda:0') 
Episode: 70, z_learner_vector: tensor([0.9998, 0.0330], device='cuda:0') 
Episode: 71, z_learner_vector: tensor([0.9999, 0.0331], device='cuda:0') 
Episode: 72, z_learner_vector: tensor([0.9999, 0.0332], device='cuda:0') 
Episode: 73, z_learner_vector: tensor([1.0000, 0.0333], device='cuda:0') 
Episode: 74, z_learner_vector: tensor([1.0000, 0.0334], device='cuda:0') 
Episode: 75, z_learner_vector: tensor([1.0001, 0.0335], device='cuda:0') 
Episode: 76, z_learner_vector: tensor([1.0002, 0.0336], device='cuda:0') 
Episode: 77, z_learner_vector: tensor([1.0002, 0.0336], device='cuda:0') 
Episode: 78, z_learner_vector: tensor([1.0003, 0.0337], device='cuda:0') 
Episode: 79, z_learner_vector: tensor([1.0004, 0.0337], device='cuda:0') 
Episode: 80, z_learner_vector: tensor([1.0005, 0.0338], device='cuda:0') 
Episode: 81, z_learner_vector: tensor([1.0006, 0.0338], device='cuda:0') 
Episode: 82, z_learner_vector: tensor([1.0007, 0.0339], device='cuda:0') 
Episode: 83, z_learner_vector: tensor([1.0008, 0.0339], device='cuda:0') 
Episode: 84, z_learner_vector: tensor([1.0010, 0.0340], device='cuda:0') 
Episode: 85, z_learner_vector: tensor([1.0012, 0.0341], device='cuda:0') 
Episode: 86, z_learner_vector: tensor([1.0015, 0.0341], device='cuda:0') 
Episode: 87, z_learner_vector: tensor([1.0017, 0.0342], device='cuda:0') 
Episode: 88, z_learner_vector: tensor([1.0020, 0.0342], device='cuda:0') 
Episode: 89, z_learner_vector: tensor([1.0022, 0.0343], device='cuda:0') 
Episode: 90, z_learner_vector: tensor([1.0025, 0.0344], device='cuda:0') 
Episode: 91, z_learner_vector: tensor([1.0028, 0.0345], device='cuda:0') 
Episode: 92, z_learner_vector: tensor([1.0030, 0.0346], device='cuda:0') 
Episode: 93, z_learner_vector: tensor([1.0033, 0.0346], device='cuda:0') 
Episode: 94, z_learner_vector: tensor([1.0036, 0.0347], device='cuda:0') 
Episode: 95, z_learner_vector: tensor([1.0039, 0.0348], device='cuda:0') 
Episode: 96, z_learner_vector: tensor([1.0042, 0.0349], device='cuda:0') 
Episode: 97, z_learner_vector: tensor([1.0046, 0.0353], device='cuda:0') 
Episode: 98, z_learner_vector: tensor([1.0051, 0.0356], device='cuda:0') 
Episode: 99, z_learner_vector: tensor([1.0054, 0.0358], device='cuda:0') 
Episode: 100, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 101, z_learner_vector: tensor([1.0063, 0.0366], device='cuda:0') 
Episode: 102, z_learner_vector: tensor([1.0068, 0.0370], device='cuda:0') 
Episode: 103, z_learner_vector: tensor([1.0072, 0.0374], device='cuda:0') 
Episode: 104, z_learner_vector: tensor([1.0075, 0.0378], device='cuda:0') 
Episode: 105, z_learner_vector: tensor([1.0081, 0.0383], device='cuda:0') 
Episode: 106, z_learner_vector: tensor([1.0085, 0.0387], device='cuda:0') 
Episode: 107, z_learner_vector: tensor([1.0090, 0.0391], device='cuda:0') 
Episode: 108, z_learner_vector: tensor([1.0096, 0.0397], device='cuda:0') 
Episode: 109, z_learner_vector: tensor([1.0092, 0.0393], device='cuda:0') 
Episode: 110, z_learner_vector: tensor([1.0088, 0.0390], device='cuda:0') 
Episode: 111, z_learner_vector: tensor([1.0085, 0.0386], device='cuda:0') 
Episode: 112, z_learner_vector: tensor([1.0082, 0.0384], device='cuda:0') 
Episode: 113, z_learner_vector: tensor([1.0080, 0.0381], device='cuda:0') 
Episode: 114, z_learner_vector: tensor([1.0077, 0.0379], device='cuda:0') 
Episode: 115, z_learner_vector: tensor([1.0075, 0.0377], device='cuda:0') 
Episode: 116, z_learner_vector: tensor([1.0073, 0.0375], device='cuda:0') 
Episode: 117, z_learner_vector: tensor([1.0072, 0.0373], device='cuda:0') 
Episode: 118, z_learner_vector: tensor([1.0070, 0.0372], device='cuda:0') 
Episode: 119, z_learner_vector: tensor([1.0069, 0.0371], device='cuda:0') 
Episode: 120, z_learner_vector: tensor([1.0068, 0.0370], device='cuda:0') 
Episode: 121, z_learner_vector: tensor([1.0067, 0.0369], device='cuda:0') 
Episode: 122, z_learner_vector: tensor([1.0066, 0.0368], device='cuda:0') 
Episode: 123, z_learner_vector: tensor([1.0065, 0.0367], device='cuda:0') 
Episode: 124, z_learner_vector: tensor([1.0065, 0.0367], device='cuda:0') 
Episode: 125, z_learner_vector: tensor([1.0064, 0.0366], device='cuda:0') 
Episode: 126, z_learner_vector: tensor([1.0063, 0.0365], device='cuda:0') 
Episode: 127, z_learner_vector: tensor([1.0063, 0.0365], device='cuda:0') 
Episode: 128, z_learner_vector: tensor([1.0062, 0.0364], device='cuda:0') 
Episode: 129, z_learner_vector: tensor([1.0062, 0.0364], device='cuda:0') 
Episode: 130, z_learner_vector: tensor([1.0062, 0.0364], device='cuda:0') 
Episode: 131, z_learner_vector: tensor([1.0061, 0.0363], device='cuda:0') 
Episode: 132, z_learner_vector: tensor([1.0061, 0.0363], device='cuda:0') 
Episode: 133, z_learner_vector: tensor([1.0061, 0.0363], device='cuda:0') 
Episode: 134, z_learner_vector: tensor([1.0060, 0.0362], device='cuda:0') 
Episode: 135, z_learner_vector: tensor([1.0060, 0.0362], device='cuda:0') 
Episode: 136, z_learner_vector: tensor([1.0060, 0.0362], device='cuda:0') 
Episode: 137, z_learner_vector: tensor([1.0060, 0.0362], device='cuda:0') 
Episode: 138, z_learner_vector: tensor([1.0060, 0.0362], device='cuda:0') 
Episode: 139, z_learner_vector: tensor([1.0059, 0.0362], device='cuda:0') 
Episode: 140, z_learner_vector: tensor([1.0059, 0.0362], device='cuda:0') 
Episode: 141, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 142, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 143, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 144, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 145, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 146, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 147, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 148, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 149, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 150, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 151, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 152, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 153, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 154, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 155, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 156, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 157, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 158, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 159, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 160, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 161, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 162, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 163, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 164, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 165, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 166, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 167, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 168, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 169, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 170, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 171, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 172, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 173, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 174, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 175, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 176, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 177, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 178, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 179, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 180, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 181, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 182, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 183, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 184, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 185, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 186, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 187, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 188, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 189, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 190, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 191, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 192, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 193, z_learner_vector: tensor([1.0058, 0.0361], device='cuda:0') 
Episode: 194, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 195, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 196, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 197, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 198, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 199, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
Episode: 200, z_learner_vector: tensor([1.0059, 0.0361], device='cuda:0') 
