Train Episode: 1	Loss: 3.824712	Accuracy: 0.000	MetaParam_1: 0.001000	MetaParam_2: 0.000000	MetaParam_3: 0.000000	MetaParam_4: 0.000000	MetaParam_5: 0.000000	MetaParam_6: 0.000000	MetaParam_7: 0.000000	MetaParam_8: 0.000000	MetaParam_9: 0.000000	MetaParam_10: 0.000000
Train Episode: 25	Loss: 0.547872	Accuracy: 0.820	MetaParam_1: 0.001692	MetaParam_2: 0.001019	MetaParam_3: -0.000930	MetaParam_4: -0.001121	MetaParam_5: 0.000696	MetaParam_6: 0.001003	MetaParam_7: -0.000786	MetaParam_8: -0.000764	MetaParam_9: -0.000722	MetaParam_10: 0.000810
Train Episode: 26	Loss: 26.379230	Accuracy: 0.180	MetaParam_1: 0.001690	MetaParam_2: 0.001005	MetaParam_3: -0.000952	MetaParam_4: -0.001120	MetaParam_5: 0.000690	MetaParam_6: 0.000999	MetaParam_7: -0.000762	MetaParam_8: -0.000763	MetaParam_9: -0.000697	MetaParam_10: 0.000807
Train Episode: 27	Loss: 1.839256	Accuracy: 0.420	MetaParam_1: 0.001744	MetaParam_2: 0.000951	MetaParam_3: -0.001006	MetaParam_4: -0.001066	MetaParam_5: 0.000744	MetaParam_6: 0.000944	MetaParam_7: -0.000708	MetaParam_8: -0.000709	MetaParam_9: -0.000642	MetaParam_10: 0.000753
Train Episode: 28	Loss: 1.003756	Accuracy: 0.580	MetaParam_1: 0.001794	MetaParam_2: 0.000901	MetaParam_3: -0.001055	MetaParam_4: -0.001016	MetaParam_5: 0.000793	MetaParam_6: 0.000895	MetaParam_7: -0.000658	MetaParam_8: -0.000660	MetaParam_9: -0.000593	MetaParam_10: 0.000704
Train Episode: 29	Loss: 1.872317	Accuracy: 0.400	MetaParam_1: 0.001838	MetaParam_2: 0.000855	MetaParam_3: -0.001100	MetaParam_4: -0.000971	MetaParam_5: 0.000838	MetaParam_6: 0.000850	MetaParam_7: -0.000613	MetaParam_8: -0.000615	MetaParam_9: -0.000547	MetaParam_10: 0.000659
Train Episode: 30	Loss: 1.168182	Accuracy: 0.580	MetaParam_1: 0.001901	MetaParam_2: 0.000906	MetaParam_3: -0.001132	MetaParam_4: -0.000968	MetaParam_5: 0.000901	MetaParam_6: 0.000837	MetaParam_7: -0.000592	MetaParam_8: -0.000598	MetaParam_9: -0.000589	MetaParam_10: 0.000671
Train Episode: 31	Loss: 1.262307	Accuracy: 0.680	MetaParam_1: 0.001959	MetaParam_2: 0.000953	MetaParam_3: -0.001161	MetaParam_4: -0.000966	MetaParam_5: 0.000957	MetaParam_6: 0.000826	MetaParam_7: -0.000573	MetaParam_8: -0.000582	MetaParam_9: -0.000627	MetaParam_10: 0.000683
Train Episode: 32	Loss: 0.917026	Accuracy: 0.580	MetaParam_1: 0.002011	MetaParam_2: 0.000995	MetaParam_3: -0.001187	MetaParam_4: -0.000963	MetaParam_5: 0.001009	MetaParam_6: 0.000815	MetaParam_7: -0.000555	MetaParam_8: -0.000568	MetaParam_9: -0.000662	MetaParam_10: 0.000693
Train Episode: 33	Loss: 1.163550	Accuracy: 0.480	MetaParam_1: 0.002058	MetaParam_2: 0.001034	MetaParam_3: -0.001211	MetaParam_4: -0.000961	MetaParam_5: 0.001057	MetaParam_6: 0.000806	MetaParam_7: -0.000539	MetaParam_8: -0.000556	MetaParam_9: -0.000694	MetaParam_10: 0.000703
Train Episode: 34	Loss: 4.176834	Accuracy: 0.200	MetaParam_1: 0.002102	MetaParam_2: 0.001069	MetaParam_3: -0.001233	MetaParam_4: -0.000959	MetaParam_5: 0.001100	MetaParam_6: 0.000797	MetaParam_7: -0.000524	MetaParam_8: -0.000544	MetaParam_9: -0.000723	MetaParam_10: 0.000712
Train Episode: 35	Loss: 1.037813	Accuracy: 0.480	MetaParam_1: 0.002141	MetaParam_2: 0.001101	MetaParam_3: -0.001253	MetaParam_4: -0.000957	MetaParam_5: 0.001139	MetaParam_6: 0.000789	MetaParam_7: -0.000511	MetaParam_8: -0.000533	MetaParam_9: -0.000749	MetaParam_10: 0.000720
Train Episode: 36	Loss: 1.988982	Accuracy: 0.300	MetaParam_1: 0.002177	MetaParam_2: 0.001130	MetaParam_3: -0.001271	MetaParam_4: -0.000955	MetaParam_5: 0.001175	MetaParam_6: 0.000782	MetaParam_7: -0.000499	MetaParam_8: -0.000524	MetaParam_9: -0.000773	MetaParam_10: 0.000727
Train Episode: 37	Loss: 2.322067	Accuracy: 0.220	MetaParam_1: 0.002210	MetaParam_2: 0.001157	MetaParam_3: -0.001287	MetaParam_4: -0.000954	MetaParam_5: 0.001207	MetaParam_6: 0.000775	MetaParam_7: -0.000488	MetaParam_8: -0.000515	MetaParam_9: -0.000794	MetaParam_10: 0.000734
Train Episode: 38	Loss: 1.893803	Accuracy: 0.240	MetaParam_1: 0.002240	MetaParam_2: 0.001181	MetaParam_3: -0.001302	MetaParam_4: -0.000952	MetaParam_5: 0.001237	MetaParam_6: 0.000769	MetaParam_7: -0.000477	MetaParam_8: -0.000507	MetaParam_9: -0.000814	MetaParam_10: 0.000740
Train Episode: 39	Loss: 1.458168	Accuracy: 0.360	MetaParam_1: 0.002267	MetaParam_2: 0.001203	MetaParam_3: -0.001316	MetaParam_4: -0.000951	MetaParam_5: 0.001264	MetaParam_6: 0.000764	MetaParam_7: -0.000468	MetaParam_8: -0.000500	MetaParam_9: -0.000832	MetaParam_10: 0.000745
Train Episode: 40	Loss: 1.631027	Accuracy: 0.360	MetaParam_1: 0.002292	MetaParam_2: 0.001223	MetaParam_3: -0.001328	MetaParam_4: -0.000950	MetaParam_5: 0.001288	MetaParam_6: 0.000759	MetaParam_7: -0.000460	MetaParam_8: -0.000493	MetaParam_9: -0.000849	MetaParam_10: 0.000750
Train Episode: 41	Loss: 2.048234	Accuracy: 0.360	MetaParam_1: 0.002314	MetaParam_2: 0.001241	MetaParam_3: -0.001339	MetaParam_4: -0.000949	MetaParam_5: 0.001311	MetaParam_6: 0.000754	MetaParam_7: -0.000452	MetaParam_8: -0.000487	MetaParam_9: -0.000864	MetaParam_10: 0.000755
Train Episode: 42	Loss: 2.131952	Accuracy: 0.260	MetaParam_1: 0.002335	MetaParam_2: 0.001258	MetaParam_3: -0.001350	MetaParam_4: -0.000948	MetaParam_5: 0.001331	MetaParam_6: 0.000750	MetaParam_7: -0.000445	MetaParam_8: -0.000482	MetaParam_9: -0.000877	MetaParam_10: 0.000759
Train Episode: 43	Loss: 1.942896	Accuracy: 0.120	MetaParam_1: 0.002354	MetaParam_2: 0.001273	MetaParam_3: -0.001359	MetaParam_4: -0.000947	MetaParam_5: 0.001349	MetaParam_6: 0.000746	MetaParam_7: -0.000439	MetaParam_8: -0.000477	MetaParam_9: -0.000889	MetaParam_10: 0.000763
Train Episode: 44	Loss: 1.216627	Accuracy: 0.580	MetaParam_1: 0.002371	MetaParam_2: 0.001287	MetaParam_3: -0.001367	MetaParam_4: -0.000946	MetaParam_5: 0.001366	MetaParam_6: 0.000743	MetaParam_7: -0.000433	MetaParam_8: -0.000472	MetaParam_9: -0.000901	MetaParam_10: 0.000766
Train Episode: 45	Loss: 2.629881	Accuracy: 0.160	MetaParam_1: 0.002386	MetaParam_2: 0.001299	MetaParam_3: -0.001375	MetaParam_4: -0.000946	MetaParam_5: 0.001382	MetaParam_6: 0.000740	MetaParam_7: -0.000428	MetaParam_8: -0.000468	MetaParam_9: -0.000911	MetaParam_10: 0.000769
Train Episode: 46	Loss: 1.997992	Accuracy: 0.300	MetaParam_1: 0.002400	MetaParam_2: 0.001311	MetaParam_3: -0.001382	MetaParam_4: -0.000945	MetaParam_5: 0.001396	MetaParam_6: 0.000737	MetaParam_7: -0.000423	MetaParam_8: -0.000464	MetaParam_9: -0.000920	MetaParam_10: 0.000772
Train Episode: 47	Loss: 2.485568	Accuracy: 0.140	MetaParam_1: 0.002413	MetaParam_2: 0.001321	MetaParam_3: -0.001389	MetaParam_4: -0.000944	MetaParam_5: 0.001408	MetaParam_6: 0.000734	MetaParam_7: -0.000419	MetaParam_8: -0.000461	MetaParam_9: -0.000929	MetaParam_10: 0.000775
Train Episode: 48	Loss: 1.346582	Accuracy: 0.480	MetaParam_1: 0.002424	MetaParam_2: 0.001331	MetaParam_3: -0.001394	MetaParam_4: -0.000944	MetaParam_5: 0.001420	MetaParam_6: 0.000732	MetaParam_7: -0.000415	MetaParam_8: -0.000458	MetaParam_9: -0.000936	MetaParam_10: 0.000777
Train Episode: 49	Loss: 1.028573	Accuracy: 0.660	MetaParam_1: 0.002435	MetaParam_2: 0.001339	MetaParam_3: -0.001400	MetaParam_4: -0.000943	MetaParam_5: 0.001430	MetaParam_6: 0.000730	MetaParam_7: -0.000411	MetaParam_8: -0.000455	MetaParam_9: -0.000943	MetaParam_10: 0.000779
Train Episode: 50	Loss: 2.254920	Accuracy: 0.520	MetaParam_1: 0.002444	MetaParam_2: 0.001347	MetaParam_3: -0.001405	MetaParam_4: -0.000943	MetaParam_5: 0.001440	MetaParam_6: 0.000728	MetaParam_7: -0.000408	MetaParam_8: -0.000452	MetaParam_9: -0.000950	MetaParam_10: 0.000781
Train Episode: 51	Loss: 1.675365	Accuracy: 0.360	MetaParam_1: 0.002453	MetaParam_2: 0.001354	MetaParam_3: -0.001409	MetaParam_4: -0.000942	MetaParam_5: 0.001448	MetaParam_6: 0.000726	MetaParam_7: -0.000405	MetaParam_8: -0.000450	MetaParam_9: -0.000956	MetaParam_10: 0.000783
Train Episode: 52	Loss: 2.139925	Accuracy: 0.180	MetaParam_1: 0.002461	MetaParam_2: 0.001360	MetaParam_3: -0.001413	MetaParam_4: -0.000942	MetaParam_5: 0.001456	MetaParam_6: 0.000725	MetaParam_7: -0.000403	MetaParam_8: -0.000448	MetaParam_9: -0.000961	MetaParam_10: 0.000784
Train Episode: 53	Loss: 1.315392	Accuracy: 0.400	MetaParam_1: 0.002468	MetaParam_2: 0.001366	MetaParam_3: -0.001416	MetaParam_4: -0.000942	MetaParam_5: 0.001463	MetaParam_6: 0.000723	MetaParam_7: -0.000400	MetaParam_8: -0.000446	MetaParam_9: -0.000966	MetaParam_10: 0.000786
Train Episode: 54	Loss: 0.978760	Accuracy: 0.760	MetaParam_1: 0.002475	MetaParam_2: 0.001372	MetaParam_3: -0.001420	MetaParam_4: -0.000941	MetaParam_5: 0.001470	MetaParam_6: 0.000722	MetaParam_7: -0.000398	MetaParam_8: -0.000444	MetaParam_9: -0.000970	MetaParam_10: 0.000787
Train Episode: 55	Loss: 1.923859	Accuracy: 0.340	MetaParam_1: 0.002481	MetaParam_2: 0.001376	MetaParam_3: -0.001423	MetaParam_4: -0.000941	MetaParam_5: 0.001476	MetaParam_6: 0.000721	MetaParam_7: -0.000396	MetaParam_8: -0.000442	MetaParam_9: -0.000974	MetaParam_10: 0.000788
Train Episode: 56	Loss: 1.315031	Accuracy: 0.420	MetaParam_1: 0.002486	MetaParam_2: 0.001381	MetaParam_3: -0.001425	MetaParam_4: -0.000941	MetaParam_5: 0.001481	MetaParam_6: 0.000720	MetaParam_7: -0.000394	MetaParam_8: -0.000441	MetaParam_9: -0.000977	MetaParam_10: 0.000790
Train Episode: 57	Loss: 1.477280	Accuracy: 0.460	MetaParam_1: 0.002491	MetaParam_2: 0.001385	MetaParam_3: -0.001428	MetaParam_4: -0.000941	MetaParam_5: 0.001486	MetaParam_6: 0.000719	MetaParam_7: -0.000392	MetaParam_8: -0.000440	MetaParam_9: -0.000981	MetaParam_10: 0.000791
Train Episode: 58	Loss: 1.576594	Accuracy: 0.420	MetaParam_1: 0.002496	MetaParam_2: 0.001388	MetaParam_3: -0.001430	MetaParam_4: -0.000940	MetaParam_5: 0.001490	MetaParam_6: 0.000718	MetaParam_7: -0.000391	MetaParam_8: -0.000438	MetaParam_9: -0.000984	MetaParam_10: 0.000791
Train Episode: 59	Loss: 2.692960	Accuracy: 0.360	MetaParam_1: 0.002500	MetaParam_2: 0.001392	MetaParam_3: -0.001432	MetaParam_4: -0.000940	MetaParam_5: 0.001494	MetaParam_6: 0.000717	MetaParam_7: -0.000390	MetaParam_8: -0.000437	MetaParam_9: -0.000986	MetaParam_10: 0.000792
Train Episode: 60	Loss: 1.670979	Accuracy: 0.320	MetaParam_1: 0.002503	MetaParam_2: 0.001395	MetaParam_3: -0.001434	MetaParam_4: -0.000940	MetaParam_5: 0.001498	MetaParam_6: 0.000716	MetaParam_7: -0.000388	MetaParam_8: -0.000436	MetaParam_9: -0.000989	MetaParam_10: 0.000793
Train Episode: 61	Loss: 2.185473	Accuracy: 0.260	MetaParam_1: 0.002507	MetaParam_2: 0.001397	MetaParam_3: -0.001436	MetaParam_4: -0.000940	MetaParam_5: 0.001501	MetaParam_6: 0.000716	MetaParam_7: -0.000387	MetaParam_8: -0.000436	MetaParam_9: -0.000991	MetaParam_10: 0.000794
Train Episode: 62	Loss: 1.729879	Accuracy: 0.200	MetaParam_1: 0.002510	MetaParam_2: 0.001400	MetaParam_3: -0.001437	MetaParam_4: -0.000940	MetaParam_5: 0.001504	MetaParam_6: 0.000715	MetaParam_7: -0.000386	MetaParam_8: -0.000435	MetaParam_9: -0.000993	MetaParam_10: 0.000794
Train Episode: 63	Loss: 1.379964	Accuracy: 0.320	MetaParam_1: 0.002512	MetaParam_2: 0.001402	MetaParam_3: -0.001439	MetaParam_4: -0.000940	MetaParam_5: 0.001507	MetaParam_6: 0.000714	MetaParam_7: -0.000385	MetaParam_8: -0.000434	MetaParam_9: -0.000995	MetaParam_10: 0.000795
Train Episode: 64	Loss: 1.232814	Accuracy: 0.440	MetaParam_1: 0.002515	MetaParam_2: 0.001404	MetaParam_3: -0.001440	MetaParam_4: -0.000939	MetaParam_5: 0.001510	MetaParam_6: 0.000714	MetaParam_7: -0.000385	MetaParam_8: -0.000433	MetaParam_9: -0.000997	MetaParam_10: 0.000795
Train Episode: 65	Loss: 1.775904	Accuracy: 0.440	MetaParam_1: 0.002517	MetaParam_2: 0.001406	MetaParam_3: -0.001441	MetaParam_4: -0.000939	MetaParam_5: 0.001512	MetaParam_6: 0.000713	MetaParam_7: -0.000384	MetaParam_8: -0.000433	MetaParam_9: -0.000998	MetaParam_10: 0.000796
Train Episode: 66	Loss: 1.203085	Accuracy: 0.460	MetaParam_1: 0.002519	MetaParam_2: 0.001408	MetaParam_3: -0.001442	MetaParam_4: -0.000939	MetaParam_5: 0.001514	MetaParam_6: 0.000713	MetaParam_7: -0.000383	MetaParam_8: -0.000432	MetaParam_9: -0.001000	MetaParam_10: 0.000796
Train Episode: 67	Loss: 1.646046	Accuracy: 0.520	MetaParam_1: 0.002521	MetaParam_2: 0.001409	MetaParam_3: -0.001443	MetaParam_4: -0.000939	MetaParam_5: 0.001516	MetaParam_6: 0.000713	MetaParam_7: -0.000383	MetaParam_8: -0.000432	MetaParam_9: -0.001001	MetaParam_10: 0.000797
Train Episode: 68	Loss: 1.390702	Accuracy: 0.340	MetaParam_1: 0.002523	MetaParam_2: 0.001410	MetaParam_3: -0.001444	MetaParam_4: -0.000939	MetaParam_5: 0.001517	MetaParam_6: 0.000712	MetaParam_7: -0.000382	MetaParam_8: -0.000431	MetaParam_9: -0.001002	MetaParam_10: 0.000797
Train Episode: 69	Loss: 1.481097	Accuracy: 0.360	MetaParam_1: 0.002524	MetaParam_2: 0.001412	MetaParam_3: -0.001445	MetaParam_4: -0.000939	MetaParam_5: 0.001519	MetaParam_6: 0.000712	MetaParam_7: -0.000381	MetaParam_8: -0.000431	MetaParam_9: -0.001003	MetaParam_10: 0.000797
Train Episode: 70	Loss: 1.164268	Accuracy: 0.680	MetaParam_1: 0.002525	MetaParam_2: 0.001413	MetaParam_3: -0.001445	MetaParam_4: -0.000939	MetaParam_5: 0.001520	MetaParam_6: 0.000712	MetaParam_7: -0.000381	MetaParam_8: -0.000431	MetaParam_9: -0.001004	MetaParam_10: 0.000797
Train Episode: 71	Loss: 2.255202	Accuracy: 0.320	MetaParam_1: 0.002527	MetaParam_2: 0.001414	MetaParam_3: -0.001446	MetaParam_4: -0.000939	MetaParam_5: 0.001521	MetaParam_6: 0.000711	MetaParam_7: -0.000381	MetaParam_8: -0.000430	MetaParam_9: -0.001005	MetaParam_10: 0.000798
Train Episode: 72	Loss: 1.380109	Accuracy: 0.380	MetaParam_1: 0.002528	MetaParam_2: 0.001415	MetaParam_3: -0.001447	MetaParam_4: -0.000939	MetaParam_5: 0.001523	MetaParam_6: 0.000711	MetaParam_7: -0.000380	MetaParam_8: -0.000430	MetaParam_9: -0.001006	MetaParam_10: 0.000798
Train Episode: 73	Loss: 1.893846	Accuracy: 0.220	MetaParam_1: 0.002529	MetaParam_2: 0.001416	MetaParam_3: -0.001447	MetaParam_4: -0.000939	MetaParam_5: 0.001524	MetaParam_6: 0.000711	MetaParam_7: -0.000380	MetaParam_8: -0.000430	MetaParam_9: -0.001006	MetaParam_10: 0.000798
Train Episode: 74	Loss: 3.001238	Accuracy: 0.200	MetaParam_1: 0.002530	MetaParam_2: 0.001416	MetaParam_3: -0.001448	MetaParam_4: -0.000939	MetaParam_5: 0.001525	MetaParam_6: 0.000711	MetaParam_7: -0.000380	MetaParam_8: -0.000429	MetaParam_9: -0.001007	MetaParam_10: 0.000798
Train Episode: 75	Loss: 2.115279	Accuracy: 0.280	MetaParam_1: 0.002531	MetaParam_2: 0.001417	MetaParam_3: -0.001448	MetaParam_4: -0.000939	MetaParam_5: 0.001525	MetaParam_6: 0.000711	MetaParam_7: -0.000379	MetaParam_8: -0.000429	MetaParam_9: -0.001008	MetaParam_10: 0.000799
Train Episode: 76	Loss: 1.214456	Accuracy: 0.480	MetaParam_1: 0.002531	MetaParam_2: 0.001418	MetaParam_3: -0.001448	MetaParam_4: -0.000939	MetaParam_5: 0.001526	MetaParam_6: 0.000711	MetaParam_7: -0.000379	MetaParam_8: -0.000429	MetaParam_9: -0.001008	MetaParam_10: 0.000799
Train Episode: 77	Loss: 1.171838	Accuracy: 0.440	MetaParam_1: 0.002532	MetaParam_2: 0.001418	MetaParam_3: -0.001449	MetaParam_4: -0.000939	MetaParam_5: 0.001527	MetaParam_6: 0.000710	MetaParam_7: -0.000379	MetaParam_8: -0.000429	MetaParam_9: -0.001009	MetaParam_10: 0.000799
Train Episode: 78	Loss: 2.487962	Accuracy: 0.220	MetaParam_1: 0.002533	MetaParam_2: 0.001419	MetaParam_3: -0.001449	MetaParam_4: -0.000939	MetaParam_5: 0.001528	MetaParam_6: 0.000710	MetaParam_7: -0.000379	MetaParam_8: -0.000429	MetaParam_9: -0.001009	MetaParam_10: 0.000799
Train Episode: 79	Loss: 1.894887	Accuracy: 0.380	MetaParam_1: 0.002533	MetaParam_2: 0.001419	MetaParam_3: -0.001449	MetaParam_4: -0.000938	MetaParam_5: 0.001528	MetaParam_6: 0.000710	MetaParam_7: -0.000378	MetaParam_8: -0.000428	MetaParam_9: -0.001009	MetaParam_10: 0.000799
Train Episode: 80	Loss: 3.004188	Accuracy: 0.220	MetaParam_1: 0.002533	MetaParam_2: 0.001419	MetaParam_3: -0.001449	MetaParam_4: -0.000938	MetaParam_5: 0.001529	MetaParam_6: 0.000710	MetaParam_7: -0.000378	MetaParam_8: -0.000428	MetaParam_9: -0.001010	MetaParam_10: 0.000798
Train Episode: 81	Loss: 0.720611	Accuracy: 0.740	MetaParam_1: 0.002532	MetaParam_2: 0.001419	MetaParam_3: -0.001449	MetaParam_4: -0.000938	MetaParam_5: 0.001528	MetaParam_6: 0.000709	MetaParam_7: -0.000378	MetaParam_8: -0.000428	MetaParam_9: -0.001010	MetaParam_10: 0.000798
